Book,Blurb,Author
ආඛ්‍යාන කලාව සහ මිනිස් සමාජය,"ආඛ්‍යාන කලාවේ ශිල්පීය අංග ගැන මූලික අවධානය යොමු කරන අමුතු කතාව (2005) කෘතියෙන් පසු ලියනගේ අමරකීර්ති සහෘද සාක්ෂිය මගින් ආඛ්‍යාන කලාව මිනිස් සමාජය සහ සංස්කෘතිය තුළ තබා අධ්‍යයනය කරයි.සහෘද සාක්ෂිය කෘතිය සාහිත්‍යය, සිනමාව සහ නාට්‍ය ආදී ආධ්‍යාන කලාවන් සමාජීය, සංස්කෘතික සහ පශ්චාත් යටත් විජිත අධ්‍යයන විධි ඔස්සේ විග්‍රහ කරයි. මෙම කෘතියෙහි එන රචනා කීපයක්මසිංහල සාහිත්‍ය විචාර ක්ෂේත්‍රයෙහි පශ්චාත් යටත් විජිත න්‍යාය ස්ථාපිත කරන්නට තැත් කරයි.එසේම මෙම කෘතිය ශාක් ඩෙර්සා, ජිල් ඩිලුස්, මිචෙල් ෆූකෝ, ස්ටැන්ලි කැවෙල්, එඩ්වඩ් සයිද්, ටෙර් ඊගල්ටන්, දීපේෂ් චක්‍රබර්ති, අශීශ් නන්දි, ඩොමිනික් ලාකප්රා ආදී න්‍යායධරයන් සහ දාර්ශනිකයන්ගේ න්‍යායන් සිංහල සහ ලෝක සාහිත්‍ය 'කියවීම' සඳහා භාවිත කරයි.සහෘද සාක්ෂිය සිංහල සාහිත්‍යය කේන්ද්‍ර කර ගත්තද එය ඉන්දියානු, ඇමරිකානු, බ්‍රිතාන්‍ය ආදී සාහිත්‍ය සංස්කෘතීන්ගෙන් නිදර්ශන කැඳවමින් සන්සන්දනාත්මක සාහිත්‍ය අධ්‍යනයෙහි වැදගත්කම කියාපායි.",Liyanage Amarakeerthi
Third Girl (තෙවන දැරිය),"අගතා ක්‍රිස්ටිස්ට්ගේ තෙවන දැරිය නමින් වන මෙම කතාවට ලන්ඩන්හි බොරොඩීන් මැදුරේ තට්ටු නිවාසයක ලැඟුම් ගත් ක්ලොඩියා රයිස් හොලන්ඩ්, ප්‍රාන්සන් කෙරි හා තෝමා රෙස්ටරික දැරියෝ ඇතුළත් වෙති. මෙම අයගෙන් කෙනෙක් තෙවන දැරිය වේ. මෙහි සිදුවූ අභිරහස් මරණ ගැන විවිධ අදහස් මතු වේ. තමන් අතින් ඇතැම් විට සිදුවූ ඝාතනයක් ගැන එක් දැරියක් සිතයි. රහස් පරීක්ෂක පොයිරෝ සහ මනෝ වෛද්‍යවරයා අන් අදහසක් දරති.",Agatha Christie
ඈත අතීතයට ගිය ඇමෙරිකානුවා,දහනවවන සියවසේ ඇමෙරිකාවේ විසූ හෑන්ක් මෝගන් නම් තරුණයා යම් කිසි අද්භූත ආකාරයකට හයවන සියවසේ එංගලන්තයේ ආතර් රජුගේ කාලයේ පහළ වෙයි. නවීන නිදහස් මතධාරී ඉතාම දක්ෂ කාර්මිකයකු වන හෙතෙම අතිශයින් සම්ප්‍රදායානුකූල ආගමික වැඩවසම් ක්‍රමයක් සහ ඒකාධිපති රජකු යටතේ පැවැති නොදියුණු ආර්ථික හා සමාජ රටාව ක්‍රමයෙන් වෙනස් කරයි. ඔහුගේ නවීන තාක්ෂණික විද්‍යාත්මක ශිල්පීය ක්‍රම හයවන සියවසේ ප්‍රබල මිථ්‍යා මතධාරින්ට පෙනෙන්නේ ප්‍රාතිහාර්ය ලෙසිනි. අහසට පොළොව මෙන් වූ එම සියවස් දෙකේ සංකලන හා ගැටුම් රාශියක් හටගනී. අවසානය පාඨකයා කිසිසේත් අපේක්ෂා නොකරන්නකි. තවද ඒ යුගයේ දරුණු වැඩවසම් ක්‍රමය හා කෲර වහල් සේවය මෙහිදී නිර්දය විවේචනයට භාජන වේ. ,Mark Twain
"Childhood, Boyhood, Youth","යුද්ධය හා සාමය, ඇනා කැරනිනා වැනි අමරණීය ග්‍රන්ථ ලෝක සාහිත්‍යයට දායාද කළ දාර්ශනික ලේඛකයාගේ, සදූප දේශකයාගේ, මිනිසා සහ සොබාදහම පිළිබඳව ඉවසුම් නෙතින් විමසා බැලූ පරීක්ෂකයාගේ, හුදී ජනතාව කෙරෙහි අනුපමේය සානුකම්පාව දැක්වූ අසාමාන්‍ය වංශාධිපතියාගේ සහ ජීවිතයේ අවසන් භාගයෙහි දී සියලු යස ඉසුරු හැර දමා ගොසින් පාලු දුම්රිය පොළකදී අවසන් හුස්මපොද පිටකළා වූ අසරණයාගේ කලලාංකුරය මෙම නිර්මාණය තුළින් නොඅඩුව පිළිබිඹු වන්නේය.",ලියෝ ටෝල්ස්ටෝයි
MY FORBIDDEN FACE,"1980 දී කාබුල් හි උපත ලැබූ ලතීෆා වෙනත් තරුණියන් මෙන්ම සිනමාව, ගීතය, සාහිත්‍යයට ලොල් වූවාය. ඇගේ එකම සිහිනය වූයේ ජනමාධ්‍යවේදිනියක් වීමටයි. ඇගේ මව වෛද්‍යවරියකි. පියා ව්‍යාපාරිකයෙකි. දෙදෙනාම ඇගේ ඉලක්කයට යාමට ඇයට දිරි දුන්හ. නමුත් ඉතා ඛේදජනක ලෙස 1996 දී ඒ සිහින සියල්ල බිඳ වැටින. ඇගේ පමණක් නොව, සමස්ථ ඇෆ්ගනිස්ථාන් කාන්තා පරපුරේම ගැහැනුන්ට සියල්ල තහනම් කරමින් තලිබාන් අන්තවාදීන් රටේ බලය අල්ලා ගත්තේ ය. ගැහැනුන්ට රැකියා කිරීම, විලාසිතා කිරීම, පාසල් යාම, මහ මඟ තනිව යාම ආදී දහසක් තහනම් නීති පැනවිණි.සිය රට, සිය කාන්තාවන් උදෙසා හඬ නැගීමට ලතීෆා ප්‍රංශයට යන්නීය.",Latifa
උපන් ගම,විද්‍යාවේ දියුණුව සමග මිනිසා තම වැඩ කටයුතු කර ගැනීමට නවීන තාක්ෂණයේ පිහිට පැතුවේ කාර්ය බහුල ජීවිතයෙන් මඳකට හෝ අත් මිදීමටය. මීට දශක 7-8 පෙර ගැමි සමාජයේ මෙවැනි කටයුතු ඉටුකර ගනු ලැබුයේ වඩාත් අර පිරිමැස්මෙන් ද පරිසර හානිය අවම කරමින් ද සාමුහිකත්වය සුරකිමින් ද වඩාත් සරල ලෙසය. එවැනි සරල ජීවන රටාවක් ගෙවූ ගැමි සමාජයේ ශිල්පීය ක්‍රම සිරිත් විරිත් චාරිත්‍ර වාත්‍ර පිළිබඳ පුළුල් විශ්ලේෂණයක යෙදීමට ලීලානන්ද කුඩාගම මහතා ගත් උත්සාහයකි මේ. තමා හැදුණු වැඩුනු ගම සහ එහි ජීවත් වූ සැබෑ චරිත ඔහු මේ සඳහා මූලාශ්‍ර කරගෙන ඇත.,Lilananda Kudagama
City of Joy,"මෙම කථා පුවත ගෙතීඇත්තේ සොබාදහමේ හා පීඩනයේ කුරිරුබව විසින් තම නිවෙස්වලින් පලවා හරිනලදුව ස්වේච්ඡාවෙන් නගරයට පිටුවහල් වූ, එහෙත් සිතාගත නොහැකි තරම් අන්‍යොන්‍ය සහජීවනය සඳහා නැමුණු මිනිසුන්, ගැහැණුන් හා දරුවන් රැසක් වටාය."," Dominique Lapierre
"
Messiah,"ස්ථාපිත ආගම් සහ සම්මත දර්ශනවාද ධනපති සමාජය තුළ කෙමෙන් අර්බුදයට යද්දී, ජීවිතය සහ මරණය අතර පවතින සත්‍යතාව යළි නිර්වචනය කිරීමේ ආධ්‍යාශයෙන් ඔද වැඩෙන මිනිසා, පෙරළා ඒ ධනපති සමාජ ක්‍රමයේ ම ගොදුරක් වන සැටි මේ නවකතාවෙන් විචිත්‍ර වත් සේ නිරූපණය කෙරේ.","Gore Vidal
"
Venus in Furs,"ලියෝපෝල්ඩ් ෆොන් සක්හර් මැසොක් විසින් ලියන ලද වීනස්ගේ ලෝම කබාය මෙතෙක් ලියැවී ඇති සරාගී නවකතාවලින් එකක් ලෙස සැලකෙයි. මෙහි එන ප්‍රධාන චරිතය හා සම්බන්ධ සරාගී බව, ලිංගික මනෝවිකෘතියක් ලෙස හඳුනාගනිමින්, ඒ සඳහා ස්වපීඩාකාමුකත්වය යන පාරිභාෂික පදය සකස් කරන ලද්දේ මහාචාර්ය ක්‍රාප්ටි එබිං විසිනි.මෙම නවකතාවේ ප්‍රධාන චරිතය වන සෙවරින්, කාර්පෙතියාවේ නිවාඩුවක් ගතකරන අලස රදල තරුණයෙකි. එහි දී ඔහුට රූමත්, ධනවත් වැන්දඹුවක් මුණගැසෙයි. ඇය සමග ආලයෙන් වෙලෙන ඔහු, තමා සමග විවාහවන ලෙස ඇයට යෝජනා කළ ද, ඇය එය පිළිකෙව් කළ විට ඔහු ඇයට විකල්ප යෝජනාවක් ඉදිරිපත් කරයි. සෙවරින් - කායිකව, මානසිකව හා ආත්මීය වශයෙන් ඇගේ වහලා බවට පත් වෙයි.  ඔහුට අවශ්‍ය වන්නේ, ඇගේ ඕනෑම අණකට, ආශාවකට අනුව කොපමණ පහත්, කොපමණ කුරිරු දඬුවමකට හෝ අවමානයකට හෝ ලක්වීමෙන් තෘප්තියක් ලැබීමට ය. මුල දී තම ක්‍රියාවලිය පිළිබඳ ව පිළිකුලකට හා කම්පනයකට පත් වන කතා නායිකාව අනුක්‍රමයෙන් තමා වෙත පවරා ඇති භූමිකාවෙන් තෘප්තියක් ලබන්නට පුරුදු වන්නීය.",Leopold von Sacher-Masoch
Mr. Sampath – The Printer of Malgudi,"සත්‍යවාදී යන්ත්‍රාලයේ මුද්‍රණය කොට ප්‍රසිද්ධ කරන 'ද බැනර්' නම් සතිපතා ප්‍රකාශනය පාඨක හුදී ජනයාගේ පහන් සංවේගය සත්‍ය වන්නට හේතු වෙයි. එහි කර්තෘ මෙන් ම ප්‍රකාශකයා ද අර්ථපතියා ද වන්නේ සිරිනිවාස නම් මානව හිතවාදියා ය. එහි මුද්‍රණකරුවා වන මිස්ටර් සම්පත් මේ කර්තව්‍යයේ දී බර වැඩ කොටසක් ඉටු කරයි. හදිසියේ ම මුද්‍රණාලයේ පැනනගින වැඩ වර්ජනයක් හේතු කොට ගෙන 'ද බැනර්' අතරමග ඇණ හිටියි. පුවත්පත් කලාවේදී සිරිනිවාස් චිත්‍රපට තිර නාටක රචකයකු බවට පත්වෙයි. මිස්ටර් සම්පත් 'සන්රයිස් චිත්‍රපට' සමාගම පිහිටුවාගෙන, හුරුබුහුටි සිනමා තාරකාවක සමඟ ජවුසන් නැටීම අරඹයි. ඉන්දියානු සිනමා කර්මාන්තයේ අව්‍යකෘතස්වභාවය පිළිබිඹු කරන මේ නවකතාව ආර්. කේ. නාරායන්ගේ ශූර රචනා වියමනෙහි අග්‍රගණ්‍ය පලයක් වෙයි.",R. K. Narayan
Eleven Minutes,"මට ලෝකයට අනුව චූදිතයෙකු වෙන්නත් සතුට හොයාගෙන අවදානම් ගමනක යෙදෙන්නත් පුලුවන්.ඒ සියල්ල මම ජීවිතය දකින විදිය ගැන ගැටලුවක් විතරයි. මරියා බ්‍රසීලයේ ඇතුළු ගමක ඉපදුණු, නිළියක් වෙන්න ජීනීවාවලට ආපු රූමත්, බුද්ධිමත් තරුණ ගැහැනියක්. ආදරය හා ජීවිතයේ ගුප්ත ස්වාභාවයන් තුළින් අභ්‍යන්තරයෙන් පැන නැඟෙන ආලෝකය හොයාගෙන යන, අවදානම් සහගත ගමනේදි ආදරය වෙනුවට ලිංගිකත්වය මුණගැසුණොත් කුමක් වේවිද? ජීවිතය සොයා යෑමේදී, ආදරය, ලිංගිකත්වය හා ආත්මීය අර්බුද හා ගැටෙමින් ඇය තුළින් ඇයවම මතු කර ගැනීමට කෙරෙන නිර්භීත ගවේෂයක කතාවයි මේ.'සන්තියාගෝ නම් සැරිසරන්නා' කෘතියෙන් කෘතියෙන් කීර්තියට පත් පාවුලෝ කොයියෝගේ, ලිංගිකත්වය විෂයය කරගත් කතා පුවතක් සහිත අලංකාරමය භාෂා රීතියක් රැගත් නවකතාවයි මේ.",Paulo chelho
